AAA,progname,nmon
AAA,command,/usr/local/bin/nmon -f -t -F /var/log/nmon/kc2prapkc02_20161114_nmon.csv 
AAA,version,14i
AAA,disks_per_line,150
AAA,max_disks,256,set by -d option
AAA,disks,21,
AAA,host,kc2prapkc02
AAA,user,root
AAA,OS,Linux,2.6.32-131.0.15.el6.x86_64,#1 SMP Tue May 10 15:42:40 EDT 2011,x86_64
AAA,runname,kc2prapkc02
AAA,time,00:00.01
AAA,date,14-NOV-2016
AAA,interval,300
AAA,snapshots,288
AAA,cpus,6
AAA,x86,VendorId,GenuineIntel
AAA,x86,ModelName,Intel(R) Xeon(R) CPU E7- 2860  @ 2.27GHz
AAA,x86,MHz,2263.704
AAA,x86,bogomips,4527.40
AAA,x86,ProcessorChips,1
AAA,x86,Cores,2
AAA,x86,hyperthreads,0
AAA,x86,VirtualCPUs,6
AAA,proc_stat_variables,8
AAA,note0, Warning - use the UNIX sort command to order this file before loading into a spreadsheet
AAA,note1, The First Column is simply to get the output sorted in the right order
AAA,note2, The T0001-T9999 column is a snapshot number. To work out the actual time; see the ZZZ section at the end
CPU001,CPU 1 kc2prapkc02,User%,Sys%,Wait%,Idle%
CPU002,CPU 2 kc2prapkc02,User%,Sys%,Wait%,Idle%
CPU003,CPU 3 kc2prapkc02,User%,Sys%,Wait%,Idle%
CPU004,CPU 4 kc2prapkc02,User%,Sys%,Wait%,Idle%
CPU005,CPU 5 kc2prapkc02,User%,Sys%,Wait%,Idle%
CPU006,CPU 6 kc2prapkc02,User%,Sys%,Wait%,Idle%
CPU_ALL,CPU Total kc2prapkc02,User%,Sys%,Wait%,Idle%,Busy,CPUs
MEM,Memory MB kc2prapkc02,memtotal,hightotal,lowtotal,swaptotal,memfree,highfree,lowfree,swapfree,memshared,cached,active,bigfree,buffers,swapcached,inactive
PROC,Processes kc2prapkc02,Runnable,Blocked,pswitch,syscall,read,write,fork,exec,sem,msg
NET,Network I/O kc2prapkc02,lo-read-KB/s,eth0-read-KB/s,eth1-read-KB/s,eth2-read-KB/s,lo-write-KB/s,eth0-write-KB/s,eth1-write-KB/s,eth2-write-KB/s,
NETPACKET,Network Packets kc2prapkc02,lo-read/s,eth0-read/s,eth1-read/s,eth2-read/s,lo-write/s,eth0-write/s,eth1-write/s,eth2-write/s,
